time,location1,state1,action,location2,state2,reward
1,"(0, 0)",0,left,"(0, 0)",0,-10
2,"(0, 0)",0,up,"(0, 1)",0,0
3,"(0, 1)",0,down,"(0, 0)",0,0
4,"(0, 0)",0,right,"(1, 0)",0,0
5,"(1, 0)",0,up,"(1, 1)",1,0
6,"(1, 1)",1,pick-dirt,"(1, 1)",0,1
7,"(1, 1)",0,down,"(1, 0)",0,0
8,"(1, 0)",0,pick-dirt,"(1, 0)",0,-1
9,"(1, 0)",0,right,"(2, 0)",0,0
10,"(2, 0)",0,left,"(1, 0)",0,0
11,"(1, 0)",0,left,"(0, 0)",0,0
12,"(0, 0)",0,left,"(0, 0)",0,-10
13,"(0, 0)",0,right,"(1, 0)",0,0
14,"(1, 0)",0,pick-dirt,"(1, 0)",0,-1
15,"(1, 0)",0,pick-dirt,"(1, 0)",0,-1
16,"(1, 0)",0,right,"(2, 0)",0,0
17,"(2, 0)",0,left,"(1, 0)",0,0
18,"(1, 0)",0,pick-dirt,"(1, 0)",0,-1
19,"(1, 0)",0,down,"(1, 0)",0,-10
20,"(1, 0)",0,left,"(0, 0)",0,0
21,"(0, 0)",0,down,"(0, 0)",0,-10
22,"(0, 0)",0,up,"(0, 1)",0,0
23,"(0, 1)",0,down,"(0, 0)",0,0
24,"(0, 0)",0,down,"(0, 0)",0,-10
25,"(0, 0)",0,up,"(0, 1)",0,0
26,"(0, 1)",0,left,"(0, 1)",0,-10
27,"(0, 1)",0,right,"(1, 1)",0,0
28,"(1, 1)",0,down,"(1, 0)",0,0
29,"(1, 0)",0,down,"(1, 0)",0,-10
30,"(1, 0)",0,right,"(2, 0)",0,0
31,"(2, 0)",0,pick-dirt,"(2, 0)",0,-1
32,"(2, 0)",0,up,"(2, 1)",0,0
33,"(2, 1)",0,pick-dirt,"(2, 1)",0,-1
34,"(2, 1)",0,down,"(2, 0)",0,0
35,"(2, 0)",0,right,"(3, 0)",0,0
36,"(3, 0)",0,pick-dirt,"(3, 0)",0,-1
37,"(3, 0)",0,left,"(2, 0)",0,0
38,"(2, 0)",0,right,"(3, 0)",0,0
39,"(3, 0)",0,pick-dirt,"(3, 0)",0,-1
40,"(3, 0)",0,down,"(3, 0)",0,-10
41,"(3, 0)",0,right,"(4, 0)",0,0
42,"(4, 0)",0,right,"(5, 0)",0,0
43,"(5, 0)",0,left,"(4, 0)",0,0
44,"(4, 0)",0,down,"(4, 0)",0,-10
45,"(4, 0)",0,left,"(3, 0)",0,0
46,"(3, 0)",0,left,"(2, 0)",0,0
47,"(2, 0)",0,up,"(2, 1)",0,0
48,"(2, 1)",0,down,"(2, 0)",0,0
49,"(2, 0)",0,left,"(1, 0)",0,0
50,"(1, 0)",0,pick-dirt,"(1, 0)",0,-1
51,"(1, 0)",0,pick-dirt,"(1, 0)",0,-1
52,"(1, 0)",0,right,"(2, 0)",0,0
53,"(2, 0)",0,pick-dirt,"(2, 0)",0,-1
54,"(2, 0)",0,down,"(2, 0)",0,-10
55,"(2, 0)",0,right,"(3, 0)",0,0
56,"(3, 0)",0,up,"(3, 1)",0,0
57,"(3, 1)",0,down,"(3, 0)",0,0
58,"(3, 0)",0,pick-dirt,"(3, 0)",0,-1
59,"(3, 0)",0,left,"(2, 0)",0,0
60,"(2, 0)",0,right,"(3, 0)",0,0
61,"(3, 0)",0,up,"(3, 1)",0,0
62,"(3, 1)",0,down,"(3, 0)",0,0
63,"(3, 0)",0,left,"(2, 0)",0,0
64,"(2, 0)",0,right,"(3, 0)",0,0
65,"(3, 0)",0,up,"(3, 1)",0,0
66,"(3, 1)",0,left,"(2, 1)",0,0
67,"(2, 1)",0,up,"(2, 2)",0,0
68,"(2, 2)",0,left,"(1, 2)",0,0
69,"(1, 2)",0,pick-dirt,"(1, 2)",0,-1
70,"(1, 2)",0,right,"(2, 2)",0,0
71,"(2, 2)",0,right,"(3, 2)",0,0
72,"(3, 2)",0,right,"(4, 2)",0,0
73,"(4, 2)",0,pick-dirt,"(4, 2)",0,-1
74,"(4, 2)",0,right,"(5, 2)",0,0
75,"(5, 2)",0,up,"(5, 3)",0,0
76,"(5, 3)",0,up,"(5, 4)",0,0
77,"(5, 4)",0,down,"(5, 3)",0,0
78,"(5, 3)",0,pick-dirt,"(5, 3)",0,-1
79,"(5, 3)",0,pick-dirt,"(5, 3)",0,-1
80,"(5, 3)",0,pick-dirt,"(5, 3)",0,-1
81,"(5, 3)",0,pick-dirt,"(5, 3)",0,-1
82,"(5, 3)",0,left,"(4, 3)",0,0
83,"(4, 3)",0,right,"(5, 3)",0,0
84,"(5, 3)",0,up,"(5, 4)",0,0
85,"(5, 4)",0,pick-dirt,"(5, 4)",0,-1
86,"(5, 4)",0,left,"(4, 4)",0,0
87,"(4, 4)",0,down,"(4, 3)",0,0
88,"(4, 3)",0,left,"(3, 3)",0,0
89,"(3, 3)",0,up,"(3, 4)",0,0
90,"(3, 4)",0,down,"(3, 3)",0,0
91,"(3, 3)",0,up,"(3, 4)",0,0
92,"(3, 4)",0,right,"(4, 4)",0,0
93,"(4, 4)",0,down,"(4, 3)",0,0
94,"(4, 3)",0,pick-dirt,"(4, 3)",0,-1
95,"(4, 3)",0,pick-dirt,"(4, 3)",0,-1
96,"(4, 3)",0,left,"(3, 3)",0,0
97,"(3, 3)",0,right,"(4, 3)",0,0
98,"(4, 3)",0,pick-dirt,"(4, 3)",0,-1
99,"(4, 3)",0,right,"(5, 3)",0,0
100,"(5, 3)",0,left,"(4, 3)",0,0
